0,0.5,1.0472,0.5236,0,0,0,2.6337,2.6281
0.001,0.50002,1.0472,0.52356,0.044735,-0.00013818,-0.073082,2.5882,2.5827
0.002,0.50009,1.0472,0.52345,0.088661,-0.00027402,-0.1447,2.5431,2.5378
0.003,0.5002,1.0472,0.52327,0.13179,-0.00040758,-0.21489,2.4985,2.4933
0.004,0.50035,1.0472,0.52302,0.17413,-0.00053894,-0.28366,2.4544,2.4492
0.005,0.50055,1.0472,0.52271,0.21569,-0.00066823,-0.35105,2.4106,2.4056
0.006,0.50078,1.0472,0.52232,0.25651,-0.0007956,-0.41709,2.3699,2.3649
0.007,0.50106,1.0472,0.52187,0.29661,-0.00092132,-0.48185,2.3295,2.3245
0.008,0.50138,1.0472,0.52136,0.33601,-0.0010456,-0.54538,2.2892,2.2844
0.009,0.50173,1.0472,0.52078,0.37473,-0.0011685,-0.60769,2.2503,2.2455
0.01,0.50213,1.0472,0.52014,0.41279,-0.00129,-0.66881,2.2118,2.2071
0.011,0.50256,1.0472,0.51944,0.45018,-0.0014104,-0.72876,2.175,2.1703
0.012,0.50303,1.0472,0.51869,0.48692,-0.0015296,-0.78757,2.1385,2.1339
0.013,0.50353,1.0472,0.51787,0.52305,-0.001648,-0.84528,2.1023,2.0978
0.014,0.50407,1.0472,0.517,0.55857,-0.0017655,-0.90193,2.0677,2.0631
0.015,0.50465,1.0472,0.51607,0.59351,-0.0018824,-0.95754,2.0334,2.0289
0.016,0.50526,1.0472,0.51508,0.62786,-0.0019988,-1.0121,1.9997,1.9953
0.017,0.5059,1.0472,0.51404,0.66166,-0.0021147,-1.0658,1.9671,1.9628
0.018,0.50658,1.0472,0.51295,0.69491,-0.0022303,-1.1184,1.9352,1.9308
0.019,0.50729,1.0472,0.51181,0.72762,-0.0023456,-1.1701,1.9031,1.8988
0.02,0.50804,1.0472,0.51061,0.7598,-0.0024608,-1.2209,1.871,1.8667
0.021,0.50881,1.0472,0.50936,0.79147,-0.002576,-1.2708,1.842,1.8377
0.022,0.50962,1.0472,0.50807,0.82263,-0.0026912,-1.3198,1.8132,1.809
0.023,0.51046,1.0472,0.50673,0.85329,-0.0028066,-1.368,1.7847,1.7804
0.024,0.51133,1.0472,0.50533,0.88348,-0.0029223,-1.4153,1.7563,1.752
0.025,0.51222,1.0472,0.5039,0.9132,-0.0030385,-1.4618,1.728,1.7238
0.026,0.51315,1.0472,0.50241,0.94245,-0.0031551,-1.5075,1.7,1.6958
0.027,0.51411,1.0472,0.50088,0.97126,-0.0032724,-1.5525,1.6721,1.668
0.028,0.51509,1.0471,0.49931,0.99962,-0.0033904,-1.5967,1.6457,1.6416
0.029,0.51611,1.0471,0.49769,1.0276,-0.0035093,-1.6401,1.621,1.6168
0.03,0.51715,1.0471,0.49603,1.0551,-0.0036292,-1.6829,1.5962,1.5921
0.031,0.51822,1.0471,0.49432,1.0822,-0.0037502,-1.7249,1.5715,1.5674
0.032,0.51931,1.0471,0.49258,1.1089,-0.0038725,-1.7662,1.5469,1.5427
0.033,0.52044,1.0471,0.49079,1.1352,-0.0039961,-1.8069,1.5223,1.5181
0.034,0.52158,1.0471,0.48896,1.1611,-0.0041212,-1.8469,1.4984,1.4942
0.035,0.52276,1.0471,0.4871,1.1867,-0.004248,-1.8863,1.4755,1.4713
0.036,0.52396,1.0471,0.48519,1.2118,-0.0043766,-1.9251,1.4534,1.4492
0.037,0.52518,1.0471,0.48325,1.2367,-0.004507,-1.9632,1.4315,1.4272
0.038,0.52643,1.0471,0.48126,1.2611,-0.0046395,-2.0008,1.4093,1.405
0.039,0.5277,1.0471,0.47924,1.2852,-0.0047743,-2.0378,1.387,1.3826
0.04,0.529,1.0471,0.47719,1.309,-0.0049113,-2.0741,1.3645,1.3601
0.041,0.53032,1.0471,0.4751,1.3325,-0.0050509,-2.11,1.3447,1.3403
0.042,0.53167,1.0471,0.47297,1.3556,-0.0051931,-2.1453,1.3253,1.3209
0.043,0.53303,1.0471,0.47081,1.3783,-0.0053381,-2.18,1.3059,1.3014
0.044,0.53442,1.0471,0.46861,1.4008,-0.0054862,-2.2142,1.2865,1.282
0.045,0.53583,1.0471,0.46638,1.4229,-0.0056374,-2.2479,1.2672,1.2626
0.046,0.53727,1.0471,0.46411,1.4448,-0.0057919,-2.281,1.2479,1.2432
0.047,0.53872,1.0471,0.46182,1.4663,-0.0059499,-2.3137,1.2286,1.2239
0.048,0.5402,1.0471,0.45949,1.4875,-0.0061117,-2.3458,1.2093,1.2046
0.049,0.5417,1.047,0.45712,1.5084,-0.0062773,-2.3774,1.1901,1.1853
0.05,0.54321,1.047,0.45474,1.5291,-0.0064464,-2.4086,1.1709,1.166
0.051,0.54475,1.047,0.45232,1.5494,-0.0066205,-2.4392,1.1543,1.1493
0.052,0.54631,1.047,0.44987,1.5694,-0.0067992,-2.4694,1.1377,1.1326
0.053,0.54789,1.047,0.44738,1.5892,-0.0069827,-2.4991,1.1208,1.1156
0.054,0.54949,1.047,0.44487,1.6086,-0.0071714,-2.5284,1.1036,1.0983
0.055,0.55111,1.047,0.44232,1.6278,-0.0073655,-2.5572,1.0861,1.0808
0.056,0.55274,1.047,0.43975,1.6467,-0.0075653,-2.5855,1.0701,1.0647
0.057,0.5544,1.047,0.43715,1.6654,-0.0077712,-2.6135,1.0541,1.0485
0.058,0.55607,1.047,0.43453,1.6838,-0.0079835,-2.641,1.0379,1.0322
0.059,0.55777,1.047,0.43187,1.7019,-0.0082026,-2.668,1.0214,1.0155
0.06,0.55948,1.047,0.42919,1.7198,-0.0084289,-2.6947,1.0046,0.9987
0.061,0.56121,1.047,0.42648,1.7375,-0.0086629,-2.721,0.98986,0.9838
0.062,0.56295,1.047,0.42375,1.7549,-0.008905,-2.7469,0.97535,0.96914
0.063,0.56472,1.0469,0.42099,1.7721,-0.0091557,-2.7725,0.96079,0.95442
0.064,0.56651,1.0469,0.41818,1.7891,-0.009416,-2.7977,0.94618,0.93965
0.065,0.56831,1.0469,0.41537,1.8058,-0.0096853,-2.8226,0.93152,0.92483
